Trial name,Date,Treatment,Replication,PDI_SB,PDI_PB,PDI_AN
Trial 6,5.12.2023,T2,R2,26,8,56
Trial 6,5.12.2023,T2,R3,30,10,60
Trial 6,5.12.2023,T3,R1,28,12,44
Trial 6,5.12.2023,T3,R2,28,8,50
Trial 6,5.12.2023,T3,R3,24,6,44
Trial 6,5.12.2023,T4,R1,34,12,60
Trial 6,5.12.2023,T4,R2,32,10,60
Trial 6,5.12.2023,T4,R3,24,10,64
Trial 6,7.11.2023,T1,R1,0,0,22
Trial 6,7.11.2023,T1,R2,2,0,30
Trial 6,7.11.2023,T1,R3,0,0,22
Trial 6,7.11.2023,T2,R1,2,0,20
Trial 6,7.11.2023,T2,R2,2,0,30
Trial 6,7.11.2023,T2,R3,4,0,26
Trial 6,7.11.2023,T3,R1,2,0,22
Trial 6,7.11.2023,T3,R2,2,0,24
Trial 6,7.11.2023,T3,R3,4,0,26
Trial 6,7.11.2023,T4,R1,2,0,20
Trial 6,7.11.2023,T4,R2,4,0,22
Trial 6,7.11.2023,T4,R3,4,0,28
Trial 7,02.01.2024,T1,R1,40,0,54
Trial 7,02.01.2024,T1,R2,48,18,60
Trial 7,02.01.2024,T1,R3,48,18,64
Trial 7,02.01.2024,T2,R1,48,14,66
Trial 7,02.01.2024,T2,R2,46,20,62
Trial 7,02.01.2024,T2,R3,42,16,54
Trial 7,02.01.2024,T3,R1,44,18,56
Trial 7,02.01.2024,T3,R2,38,18,46
Trial 7,02.01.2024,T3,R3,44,14,68
Trial 7,02.01.2024,T4,R1,102,38,138
Trial 7,02.01.2024,T5,R1,44,16,54
Trial 7,02.01.2024,T5,R2,38,16,54
Trial 7,02.01.2024,T5,R3,38,16,62
Trial 7,03.11.2023,T1,R1,0,0,10
Trial 7,03.11.2023,T1,R2,0,0,12
Trial 7,03.11.2023,T1,R3,0,0,16
Trial 7,03.11.2023,T2,R1,0,0,12
Trial 7,03.11.2023,T2,R2,0,0,16
Trial 7,03.11.2023,T2,R3,0,0,16
Trial 7,03.11.2023,T3,R1,0,0,12
Trial 7,03.11.2023,T3,R2,0,0,12
Trial 7,03.11.2023,T3,R3,0,0,16
Trial 7,03.11.2023,T4,R1,0,0,18
Trial 7,03.11.2023,T4,R2,0,0,14
Trial 7,03.11.2023,T4,R3,0,0,16
Trial 7,03.11.2023,T5,R1,0,0,16
Trial 7,03.11.2023,T5,R2,0,0,14
Trial 7,03.11.2023,T5,R3,0,0,10
Trial 7,05.01.2024,T1,R1,48,10,60
Trial 7,05.01.2024,T1,R2,50,20,66
Trial 7,05.01.2024,T1,R3,52,18,68
Trial 7,05.01.2024,T2,R1,52,16,70
Trial 7,05.01.2024,T2,R2,52,20,66
Trial 7,05.01.2024,T2,R3,44,18,56
Trial 7,05.01.2024,T3,R1,48,20,58
Trial 7,05.01.2024,T3,R2,40,18,48
Trial 7,05.01.2024,T3,R3,44,14,72
Trial 7,05.01.2024,T4,R1,110,40,146
Trial 7,05.01.2024,T5,R1,46,16,56
Trial 7,05.01.2024,T5,R2,40,18,56
Trial 7,05.01.2024,T5,R3,44,16,68
Trial 7,05.12.2023,T1,R1,22,4,52
Trial 7,05.12.2023,T1,R2,20,8,46
